customer_id,last_purchase_date,frequency,monetary,recency,r_score,f_score,m_score,segment,clv
12384.0,2011-11-11,10,298.95,24,5,3,4,Loyal Customers,2989.5
12387.0,2010-10-20,1,33.9,411,2,1,1,Others,33.9
12388.0,2010-09-20,5,86.25,441,1,2,2,Others,431.25
12389.0,2010-05-21,4,60.15,563,1,2,2,Others,240.6
12390.0,2011-09-21,4,73.69999999999999,75,4,2,2,Others,294.79999999999995
12391.0,2011-11-18,176,1085.17,17,5,5,5,Champions,190989.92
12392.0,2010-04-27,3,52.65,587,1,1,2,Others,157.95
12393.0,2010-11-22,7,91.85,378,2,2,2,Others,642.9499999999999
12394.0,2011-05-06,2,49.9,213,3,1,1,Others,99.8
12395.0,2011-11-20,34,667.75,15,5,4,5,Champions,22703.5
12396.0,2010-02-03,8,129.75,670,1,2,3,Others,1038.0
12397.0,2011-11-04,9,204.89999999999998,31,4,3,3,Loyal Customers,1844.1
12399.0,2011-08-12,7,120.0,115,3,2,3,Others,840.0
12400.0,2010-10-21,1,14.850000000000001,410,2,1,1,Others,14.850000000000001
12401.0,2011-02-09,3,51.45,299,2,1,2,Others,154.35000000000002
12402.0,2011-01-20,7,132.75,319,2,2,3,Others,929.25
12403.0,2011-10-21,3,81.9,45,4,1,2,Others,245.70000000000002
12404.0,2010-01-26,1,63.24,678,1,1,2,Others,63.24
12405.0,2011-07-14,2,34.0,144,3,1,1,Others,68.0
12407.0,2011-10-21,8,186.2,45,4,2,3,Others,1489.6
12408.0,2011-09-02,5,97.8,94,3,2,2,Others,489.0
12409.0,2011-09-21,2,64.85,75,4,1,2,Others,129.7
12410.0,2011-02-04,9,224.5,304,2,3,3,At Risk,2020.5
12411.0,2010-10-26,6,92.10000000000001,405,2,2,2,Others,552.6
12412.0,2011-09-26,10,252.65,70,4,3,4,Loyal Customers,2526.5
12413.0,2011-10-04,14,264.95,62,4,3,4,Loyal Customers,3709.2999999999997
12414.0,2011-05-06,6,420.0,213,3,2,4,Others,2520.0
12415.0,2011-07-19,64,649.23,139,3,5,5,Loyal Customers,41550.72
12417.0,2011-10-31,109,2076.95,35,4,5,5,Champions,226387.55
12418.0,2011-08-19,18,290.39,108,3,3,4,Loyal Customers,5227.0199999999995
12419.0,2010-11-19,4,159.75,381,2,2,3,Others,639.0
12420.0,2011-10-07,4,86.44999999999999,59,4,2,2,Others,345.79999999999995
12421.0,2011-11-24,9,269.6,11,5,3,4,Loyal Customers,2426.4
12422.0,2010-11-10,24,1703.95,390,2,4,5,At Risk,40894.8
12423.0,2011-06-01,16,317.1,187,3,3,4,Loyal Customers,5073.6
12424.0,2010-10-13,3,51.1,418,2,1,2,Others,153.3
12425.0,2011-09-22,5,91.1,74,4,2,2,Others,455.5
12426.0,2011-05-29,13,188.05,190,3,3,3,Loyal Customers,2444.65
12427.0,2011-11-18,4,142.5,17,5,2,3,Others,570.0
12428.0,2011-11-14,14,848.8000000000001,21,5,3,5,Loyal Customers,11883.2
12429.0,2011-04-26,9,192.05,223,3,3,3,Loyal Customers,1728.45
12430.0,2011-10-27,1,40.0,39,4,1,1,Others,40.0
12431.0,2011-10-10,53,936.34,56,4,4,5,Champions,49626.020000000004
12432.0,2011-10-28,5,881.7,38,4,2,5,Others,4408.5
12433.0,2011-11-30,32,529.17,5,5,4,4,Champions,16933.44
12434.0,2011-09-16,15,238.95,80,4,3,4,Loyal Customers,3584.25
12436.0,2011-09-01,1,80.0,95,3,1,2,Others,80.0
12437.0,2011-11-30,67,1599.85,5,5,5,5,Champions,107189.95
12438.0,2011-11-25,8,142.25,10,5,2,3,Others,1138.0
12439.0,2009-12-14,21,305.55,721,1,3,4,At Risk,6416.55
12440.0,2010-09-03,6,190.55,458,1,2,3,Others,1143.3000000000002
12441.0,2010-12-08,2,36.0,362,2,1,1,Others,72.0
12443.0,2009-12-07,7,249.48,728,1,2,4,Others,1746.36
12444.0,2011-11-18,28,700.7,17,5,4,5,Champions,19619.600000000002
12445.0,2011-11-17,3,84.8,18,5,1,2,Others,254.39999999999998
12446.0,2011-10-13,10,229.7,53,4,3,3,Loyal Customers,2297.0
12447.0,2011-04-10,3,51.7,239,3,1,2,Others,155.10000000000002
12448.0,2011-10-26,2,81.5,40,4,1,2,Others,163.0
12449.0,2011-11-17,19,304.35,18,5,3,4,Loyal Customers,5782.650000000001
12450.0,2010-11-05,3,57.35,395,2,1,2,Others,172.05
12451.0,2011-11-29,21,436.96,6,5,3,4,Loyal Customers,9176.16
12452.0,2011-11-23,3,99.0,12,5,1,2,Others,297.0
12453.0,2011-07-28,1,9.9,130,3,1,1,Others,9.9
12454.0,2010-10-18,1,220.0,413,2,1,3,Others,220.0
12455.0,2011-09-27,40,745.25,69,4,4,5,Champions,29810.0
12456.0,2011-10-26,7,115.9,40,4,2,3,Others,811.3000000000001
12457.0,2011-09-14,10,302.1,82,4,3,4,Loyal Customers,3021.0
12458.0,2011-09-29,9,370.45,67,4,3,4,Loyal Customers,3334.0499999999997
12459.0,2010-04-13,5,117.6,601,1,2,3,Others,588.0
12460.0,2010-09-09,5,104.55,452,1,2,2,Others,522.75
12461.0,2011-07-08,2,30.5,150,3,1,1,Others,61.0
12462.0,2011-11-21,15,253.25,14,5,3,4,Loyal Customers,3798.75
12463.0,2011-10-17,9,215.4,49,4,3,3,Loyal Customers,1938.6000000000001
12464.0,2011-11-29,8,190.0,6,5,2,3,Others,1520.0
12465.0,2011-11-22,4,92.4,13,5,2,2,Others,369.6
12466.0,2010-01-26,1,56.73,678,1,1,2,Others,56.73
12468.0,2011-06-05,12,277.6,183,3,3,4,Loyal Customers,3331.2000000000003
12469.0,2010-07-05,13,224.25,518,1,3,3,At Risk,2915.25
12470.0,2010-01-19,11,97.25,685,1,3,2,At Risk,1069.75
12471.0,2011-11-24,53,1471.99,11,5,4,5,Champions,78015.47
12472.0,2011-11-07,47,1030.13,28,5,4,5,Champions,48416.11000000001
12473.0,2011-11-10,7,1105.1699999999998,25,5,2,5,Others,7736.189999999999
12474.0,2011-11-22,61,1421.0,13,5,4,5,Champions,86681.0
12475.0,2011-10-17,5,93.9,49,4,2,2,Others,469.5
12476.0,2011-11-24,77,1371.95,11,5,5,5,Champions,105640.15000000001
12477.0,2011-11-17,52,995.02,18,5,4,5,Champions,51741.04
12479.0,2011-11-28,1,17.0,7,5,1,1,Others,17.0
12480.0,2011-07-19,19,408.25,139,3,3,4,Loyal Customers,7756.75
12481.0,2011-11-17,25,733.1,18,5,4,5,Champions,18327.5
12482.0,2010-04-21,2,1749.68,593,1,1,5,Others,3499.36
12483.0,2011-10-30,15,676.5,36,4,3,5,Loyal Customers,10147.5
12484.0,2011-11-04,113,853.11,31,4,5,5,Champions,96401.43000000001
12486.0,2010-10-04,11,298.5,427,2,3,4,At Risk,3283.5
12488.0,2011-11-30,4,63.6,5,5,2,2,Others,254.4
12489.0,2011-01-07,3,83.8,332,2,1,2,Others,251.39999999999998
12490.0,2011-11-14,18,627.2,21,5,3,5,Loyal Customers,11289.6
12491.0,2011-11-01,1,36.0,34,4,1,1,Others,36.0
12492.0,2011-10-07,4,80.7,59,4,2,2,Others,322.8
12493.0,2011-06-27,4,83.65,161,3,2,2,Others,334.6
12494.0,2011-11-24,19,439.7,11,5,3,4,Loyal Customers,8354.3
12495.0,2010-03-09,7,170.5,636,1,2,3,Others,1193.5
12496.0,2010-03-29,10,32.25,616,1,3,1,At Risk,322.5
12498.0,2011-11-18,2,54.0,17,5,1,2,Others,108.0
12499.0,2010-05-28,2,53.0,556,1,1,2,Others,106.0
12500.0,2011-11-16,61,566.06,19,5,4,5,Champions,34529.659999999996
12501.0,2011-01-07,7,129.45,332,2,2,3,Others,906.1499999999999
12502.0,2011-09-05,41,746.65,91,3,4,5,Loyal Customers,30612.649999999998
12503.0,2010-05-04,1,230.0,580,1,1,3,Others,230.0
12504.0,2011-11-21,5,68.65,14,5,2,2,Others,343.25
12505.0,2010-10-27,7,146.8,404,2,2,3,Others,1027.6000000000001
12506.0,2011-04-21,23,73.5,228,3,4,2,Loyal Customers,1690.5
12507.0,2011-07-28,8,214.35000000000002,130,3,2,3,Others,1714.8000000000002
12508.0,2011-11-13,19,60.790000000000006,22,5,3,2,Loyal Customers,1155.0100000000002
12509.0,2011-02-28,1,18.0,280,2,1,1,Others,18.0
12510.0,2010-09-06,9,1586.49,455,1,3,5,At Risk,14278.41
12511.0,2010-10-07,39,633.5,424,2,4,5,At Risk,24706.5
12512.0,2011-10-04,27,83.85,62,4,4,2,Loyal Customers,2263.95
12514.0,2011-03-17,4,76.8,263,2,2,2,Others,307.2
12515.0,2010-12-21,4,87.9,349,2,2,2,Others,351.6
12516.0,2010-10-05,1,54.0,426,2,1,2,Others,54.0
12517.0,2011-11-11,92,535.9,24,5,5,4,Champions,49302.799999999996
12518.0,2011-11-11,7,162.8,24,5,2,3,Others,1139.6000000000001
12519.0,2010-08-20,2,51.9,472,1,1,2,Others,103.8
12520.0,2011-07-20,10,212.95,138,3,3,3,Loyal Customers,2129.5
12521.0,2011-07-20,3,46.65,138,3,1,1,Others,139.95
12522.0,2011-10-31,2,36.0,35,4,1,1,Others,72.0
12523.0,2011-11-20,60,1043.92,15,5,4,5,Champions,62635.200000000004
12524.0,2011-11-30,12,304.45,5,5,3,4,Loyal Customers,3653.3999999999996
12525.0,2010-07-29,10,151.9,494,1,3,3,At Risk,1519.0
12526.0,2011-10-17,3,67.8,49,4,1,2,Others,203.39999999999998
12527.0,2011-01-18,2,35.0,321,2,1,1,Others,70.0
12528.0,2011-10-07,21,424.09999999999997,59,4,3,4,Loyal Customers,8906.099999999999
12529.0,2010-06-29,2,35.8,524,1,1,1,Others,71.6
12530.0,2011-10-11,17,449.2,55,4,3,4,Loyal Customers,7636.4
12531.0,2011-11-25,16,184.17000000000002,10,5,3,3,Loyal Customers,2946.7200000000003
12532.0,2011-11-09,1,52.5,26,5,1,2,Others,52.5
12533.0,2010-03-22,14,261.7,623,1,3,4,At Risk,3663.7999999999997
12534.0,2011-08-01,7,125.15,126,3,2,3,Others,876.0500000000001
12535.0,2011-09-09,4,66.9,87,3,2,2,Others,267.6
12536.0,2011-10-27,26,8756.02,39,4,4,5,Champions,227656.52000000002
12537.0,2010-10-27,5,180.5,404,2,2,3,Others,902.5
12538.0,2011-11-10,6,100.25,25,5,2,2,Others,601.5
12539.0,2011-11-17,47,781.15,18,5,4,5,Champions,36714.049999999996
12540.0,2011-11-08,59,1887.45,27,5,4,5,Champions,111359.55
12541.0,2011-11-10,4,97.5,25,5,2,2,Others,390.0
12542.0,2010-08-12,13,149.15,480,1,3,3,At Risk,1938.95
12543.0,2010-09-17,1,38.25,444,1,1,1,Others,38.25
12544.0,2011-11-03,1,56.0,32,4,1,2,Others,56.0
12545.0,2011-09-25,8,130.45,71,4,2,3,Others,1043.6
12546.0,2011-10-24,3,96.4,42,4,1,2,Others,289.20000000000005
12547.0,2011-05-26,3,84.0,193,3,1,2,Others,252.0
12548.0,2011-06-26,1,28.0,162,3,1,1,Others,28.0
12549.0,2010-01-12,1,5.0,692,1,1,1,Others,5.0
12550.0,2011-09-21,4,55.45,75,4,2,2,Others,221.8
12552.0,2011-10-31,9,119.35,35,4,3,3,Loyal Customers,1074.1499999999999
12553.0,2011-12-01,23,585.95,4,5,4,5,Champions,13476.85
12554.0,2010-09-17,6,159.15,444,1,2,3,Others,954.9000000000001
12555.0,2010-01-26,1,129.23,678,1,1,3,Others,129.23
12556.0,2011-10-20,82,349.27,46,4,5,4,Champions,28640.14
12559.0,2011-01-24,3,78.5,315,2,1,2,Others,235.5
12560.0,2011-07-19,4,66.25,139,3,2,2,Others,265.0
12561.0,2011-02-10,3,45.3,298,2,1,1,Others,135.89999999999998
12562.0,2011-10-14,8,167.7,52,4,2,3,Others,1341.6
12563.0,2010-10-27,1,28.0,404,2,1,1,Others,28.0
12564.0,2011-03-23,3,66.75,257,3,1,2,Others,200.25
12565.0,2011-02-24,1,10.98,284,2,1,1,Others,10.98
12566.0,2011-09-14,3,56.8,82,4,1,2,Others,170.39999999999998
12567.0,2011-11-17,50,974.93,18,5,4,5,Champions,48746.5
12568.0,2010-03-05,2,39.3,640,1,1,1,Others,78.6
12569.0,2011-12-02,31,626.9,3,5,4,5,Champions,19433.899999999998
12570.0,2010-01-26,1,77.52,678,1,1,2,Others,77.52
12572.0,2011-12-01,8,144.5,4,5,2,3,Others,1156.0
12573.0,2011-04-26,85,247.8,223,3,5,4,Loyal Customers,21063.0
12574.0,2011-01-28,2,55.9,311,2,1,2,Others,111.8
12575.0,2010-09-08,7,128.43,453,1,2,3,Others,899.01
12576.0,2011-09-05,10,227.15,91,3,3,3,Loyal Customers,2271.5
12577.0,2011-11-04,172,564.9,31,4,5,5,Champions,97162.8
12578.0,2011-11-18,5,74.25,17,5,2,2,Others,371.25
12579.0,2011-09-22,4,57.3,74,4,2,2,Others,229.2
12580.0,2011-04-07,2,90.0,242,3,1,2,Others,180.0
12581.0,2011-10-31,2,27.95,35,4,1,1,Others,55.9
12582.0,2011-02-24,17,328.8,284,2,3,4,At Risk,5589.6
12583.0,2011-11-08,26,864.6,27,5,4,5,Champions,22479.600000000002
12584.0,2011-11-22,37,650.5,13,5,4,5,Champions,24068.5
12585.0,2011-04-19,9,196.35,230,3,3,3,Loyal Customers,1767.1499999999999
12586.0,2011-11-22,30,489.15,13,5,4,4,Champions,14674.5
12587.0,2011-12-02,1,40.0,3,5,1,1,Others,40.0
12588.0,2011-10-31,16,469.5,35,4,3,4,Loyal Customers,7512.0
12589.0,2011-11-11,34,1676.1000000000001,24,5,4,5,Champions,56987.4
12590.0,2011-05-12,1,523.0,207,3,1,4,Others,523.0
12591.0,2011-01-26,14,248.4,313,2,3,4,At Risk,3477.6
12592.0,2011-09-08,5,859.02,88,3,2,5,Others,4295.1
12593.0,2011-05-05,1,36.0,214,3,1,1,Others,36.0
12594.0,2011-03-28,8,230.6,252,3,2,3,Others,1844.8
12595.0,2010-07-23,4,67.6,500,1,2,2,Others,270.4
12596.0,2011-10-19,4,108.8,47,4,2,2,Others,435.2
12597.0,2011-11-20,34,564.05,15,5,4,5,Champions,19177.699999999997
12598.0,2011-11-30,13,304.05,5,5,3,4,Loyal Customers,3952.65
12599.0,2011-11-10,13,270.0,25,5,3,4,Loyal Customers,3510.0
12600.0,2011-09-16,24,472.32,80,4,4,4,Champions,11335.68
12601.0,2011-06-03,10,188.85,185,3,3,3,Loyal Customers,1888.5
12602.0,2011-10-12,1,23.9,54,4,1,1,Others,23.9
12604.0,2011-03-23,1,18.0,257,3,1,1,Others,18.0
12605.0,2010-11-28,5,117.95,372,2,2,3,Others,589.75
12606.0,2010-01-26,1,21.0,678,1,1,1,Others,21.0
12607.0,2011-10-10,4,65.85,56,4,2,2,Others,263.4
12608.0,2010-10-31,4,8.6,400,2,2,1,Others,34.4
12609.0,2011-09-22,28,668.73,74,4,4,5,Champions,18724.440000000002
12610.0,2011-11-17,20,360.4,18,5,3,4,Loyal Customers,7208.0
12611.0,2011-10-18,3,56.8,48,4,1,2,Others,170.39999999999998
12612.0,2011-09-26,1,36.0,70,4,1,1,Others,36.0
12613.0,2011-03-22,24,476.6,258,3,4,4,Loyal Customers,11438.400000000001
12614.0,2011-03-07,9,136.35,273,2,3,3,At Risk,1227.1499999999999
12615.0,2011-11-03,23,426.45,32,4,4,4,Champions,9808.35
12616.0,2011-09-05,6,163.7,91,3,2,3,Others,982.1999999999999
12617.0,2011-11-10,11,35.449999999999996,25,5,3,1,Loyal Customers,389.94999999999993
12618.0,2011-11-18,2,55.9,17,5,1,2,Others,111.8
12619.0,2011-11-06,8,577.1800000000001,29,4,2,5,Others,4617.4400000000005
12620.0,2011-11-25,5,93.25,10,5,2,2,Others,466.25
12621.0,2011-09-19,38,916.6,77,4,4,5,Champions,34830.8
12622.0,2011-04-21,3,56.25,228,3,1,2,Others,168.75
12623.0,2011-03-08,18,442.6,272,2,3,4,At Risk,7966.8
12624.0,2011-08-25,7,148.35,102,3,2,3,Others,1038.45
12625.0,2010-07-18,5,129.5,505,1,2,3,Others,647.5
12626.0,2011-11-16,11,242.85,19,5,3,4,Loyal Customers,2671.35
12627.0,2011-11-29,16,270.75,6,5,3,4,Loyal Customers,4332.0
12628.0,2011-11-06,3,53.0,29,4,1,2,Others,159.0
12629.0,2010-10-12,2,135.9,419,2,1,3,Others,271.8
12630.0,2011-11-30,7,125.8,5,5,2,3,Others,880.6
12631.0,2011-10-13,12,202.05,53,4,3,3,Loyal Customers,2424.6000000000004
12632.0,2010-07-07,2,90.0,516,1,1,2,Others,180.0
12633.0,2011-10-12,38,687.1,54,4,4,5,Champions,26109.8
12634.0,2010-06-22,1,130.0,531,1,1,3,Others,130.0
12635.0,2011-09-11,19,335.0,85,3,3,4,Loyal Customers,6365.0
12636.0,2009-12-01,1,141.0,734,1,1,3,Others,141.0
12637.0,2011-10-03,227,1234.01,63,4,5,5,Champions,280120.27
12638.0,2011-11-06,2,92.5,29,4,1,2,Others,185.0
12639.0,2011-04-15,8,212.55,234,3,2,3,Others,1700.4
12640.0,2011-11-16,10,182.3,19,5,3,3,Loyal Customers,1823.0
12641.0,2011-08-16,2,57.0,111,3,1,2,Others,114.0
12642.0,2011-11-14,7,174.55,21,5,2,3,Others,1221.8500000000001
12643.0,2011-06-20,7,294.0,168,3,2,4,Others,2058.0
12644.0,2011-08-02,18,279.45,125,3,3,4,Loyal Customers,5030.099999999999
12645.0,2011-08-22,9,295.5,105,3,3,4,Loyal Customers,2659.5
12647.0,2011-11-17,73,1777.75,18,5,5,5,Champions,129775.75
12648.0,2011-07-08,11,184.55,150,3,3,3,Loyal Customers,2030.0500000000002
12649.0,2011-08-24,10,301.2,103,3,3,4,Loyal Customers,3012.0
12651.0,2010-11-26,2,28.35,374,2,1,1,Others,56.7
12652.0,2011-01-12,4,76.55,327,2,2,2,Others,306.2
12654.0,2011-11-29,6,102.65,6,5,2,2,Others,615.9000000000001
12655.0,2010-10-12,8,125.1,419,2,2,3,Others,1000.8
12656.0,2011-11-22,36,635.1,13,5,4,5,Champions,22863.600000000002
12657.0,2011-09-22,6,120.8,74,4,2,3,Others,724.8
12658.0,2011-11-21,6,108.55,14,5,2,2,Others,651.3
12659.0,2011-11-10,1,18.0,25,5,1,1,Others,18.0
12660.0,2011-11-28,1,18.0,7,5,1,1,Others,18.0
12662.0,2011-11-16,48,1068.23,19,5,4,5,Champions,51275.04
12663.0,2010-03-25,4,81.6,620,1,2,2,Others,326.4
12664.0,2011-12-01,10,596.0,4,5,3,5,Loyal Customers,5960.0
12665.0,2011-01-19,3,54.0,320,2,1,2,Others,162.0
12666.0,2010-11-10,2,33.9,390,2,1,1,Others,67.8
12667.0,2011-10-12,3,49.9,54,4,1,1,Others,149.7
12668.0,2011-11-28,55,1158.78,7,5,4,5,Champions,63732.9
12669.0,2011-07-12,7,1236.55,146,3,2,5,Others,8655.85
12670.0,2011-11-10,4,117.9,25,5,2,3,Others,471.6
12671.0,2010-04-12,2,15.901,602,1,1,1,Others,31.802
12672.0,2011-01-14,4,73.7,325,2,2,2,Others,294.8
12673.0,2011-01-17,11,130.55,322,2,3,3,At Risk,1436.0500000000002
12674.0,2011-11-01,5,141.9,34,4,2,3,Others,709.5
12675.0,2010-06-04,80,673.76,549,1,5,5,At Risk,53900.8
12676.0,2011-11-15,12,544.2,20,5,3,5,Loyal Customers,6530.400000000001
12677.0,2010-06-02,2,36.0,551,1,1,1,Others,72.0
12678.0,2011-08-31,17,1023.73,96,3,3,5,Loyal Customers,17403.41
12679.0,2011-10-12,3,90.0,54,4,1,2,Others,270.0
12680.0,2011-09-27,5,111.8,69,4,2,2,Others,559.0
12681.0,2011-11-25,113,2315.2,10,5,5,5,Champions,261617.59999999998
12682.0,2011-11-25,90,2204.7,10,5,5,5,Champions,198422.99999999997
12683.0,2011-10-20,37,834.95,46,4,4,5,Champions,30893.15
12684.0,2011-12-02,8,227.0,3,5,2,3,Others,1816.0
12685.0,2011-10-19,6,150.15,47,4,2,3,Others,900.9000000000001
12686.0,2010-12-03,2,36.0,367,2,1,1,Others,72.0
12687.0,2010-08-16,18,541.57,476,1,3,5,At Risk,9748.26
12688.0,2011-08-18,12,453.15,109,3,3,4,Loyal Customers,5437.799999999999
12689.0,2011-08-04,3,75.8,123,3,1,2,Others,227.39999999999998
12690.0,2011-05-18,4,61.4,201,3,2,2,Others,245.6
12691.0,2011-11-11,7,143.0,24,5,2,3,Others,1001.0
12692.0,2010-03-12,9,48.5,633,1,3,1,At Risk,436.5
12693.0,2011-08-04,16,377.85,123,3,3,4,Loyal Customers,6045.6
12694.0,2011-09-30,4,93.45,66,4,2,2,Others,373.8
12695.0,2011-10-04,11,226.0,62,4,3,3,Loyal Customers,2486.0
12696.0,2010-10-01,4,153.75,430,1,2,3,Others,615.0
12697.0,2011-11-11,3,200.0,24,5,1,3,Others,600.0
12698.0,2010-04-28,5,136.15,586,1,2,3,Others,680.75
12699.0,2010-10-18,5,89.2,413,2,2,2,Others,446.0
12700.0,2011-12-02,17,287.15,3,5,3,4,Loyal Customers,4881.549999999999
12701.0,2011-09-21,17,364.1,75,4,3,4,Loyal Customers,6189.700000000001
12702.0,2011-11-20,1,18.0,15,5,1,1,Others,18.0
12703.0,2011-09-29,9,165.8,67,4,3,3,Loyal Customers,1492.2
12704.0,2011-12-02,17,612.2,3,5,3,5,Loyal Customers,10407.400000000001
12705.0,2011-11-24,34,640.01,11,5,4,5,Champions,21760.34
12707.0,2011-02-21,1,15.9,287,2,1,1,Others,15.9
12708.0,2011-11-10,56,1137.9,25,5,4,5,Champions,63722.40000000001
12709.0,2011-10-27,43,569.91,39,4,4,5,Champions,24506.129999999997
12710.0,2011-09-04,5,110.8,92,3,2,2,Others,554.0
12711.0,2010-04-07,4,95.73,607,1,2,2,Others,382.92
12712.0,2011-11-11,63,1333.95,24,5,5,5,Champions,84038.85
12714.0,2011-06-13,45,781.2,175,3,4,5,Loyal Customers,35154.0
12715.0,2011-08-25,1,80.0,102,3,1,2,Others,80.0
12716.0,2011-07-29,1,19.9,129,3,1,1,Others,19.9
12717.0,2011-07-11,13,414.8,147,3,3,4,Loyal Customers,5392.400000000001
12718.0,2011-09-29,2,55.9,67,4,1,2,Others,111.8
12719.0,2011-10-05,2,53.0,61,4,1,2,Others,106.0
12720.0,2011-11-24,43,791.1,11,5,4,5,Champions,34017.3
12721.0,2011-11-08,35,634.0,27,5,4,5,Champions,22190.0
12722.0,2011-09-15,7,156.93,81,4,2,3,Others,1098.51
12723.0,2011-11-23,29,181.12,12,5,4,3,Loyal Customers,5252.4800000000005
12724.0,2011-09-19,13,281.45,77,4,3,4,Loyal Customers,3658.85
12725.0,2010-12-03,23,698.75,367,2,4,5,At Risk,16071.25
12726.0,2011-09-14,11,285.9,82,4,3,4,Loyal Customers,3144.8999999999996
12727.0,2011-03-03,7,128.3,277,2,2,3,Others,898.1000000000001
12728.0,2011-09-29,15,310.3,67,4,3,4,Loyal Customers,4654.5
12729.0,2011-08-18,5,106.19999999999999,109,3,2,2,Others,531.0
12730.0,2010-07-06,19,314.05,517,1,3,4,At Risk,5966.95
12731.0,2010-03-02,2,59.8,643,1,1,2,Others,119.6
12732.0,2011-06-13,1,18.0,175,3,1,1,Others,18.0
12733.0,2011-04-19,49,512.65,230,3,4,4,Loyal Customers,25119.85
12734.0,2010-11-30,2,53.0,370,2,1,2,Others,106.0
12735.0,2011-01-28,13,228.14999999999998,311,2,3,3,At Risk,2965.95
12737.0,2010-07-29,2,3710.5,494,1,1,5,Others,7421.0
12738.0,2010-12-02,6,89.9,368,2,2,2,Others,539.4000000000001
12739.0,2011-09-22,9,466.45,74,4,3,4,Loyal Customers,4198.05
12740.0,2011-10-07,1,17.0,59,4,1,1,Others,17.0
12741.0,2010-06-28,2,184.85,525,1,1,3,Others,369.7
12743.0,2011-07-28,118,430.69,130,3,5,4,Loyal Customers,50821.42
12744.0,2011-10-19,23,12739.87,47,4,4,5,Champions,293017.01
12745.0,2010-08-10,4,259.21,482,1,2,4,Others,1036.84
12746.0,2010-06-17,6,87.10000000000001,536,1,2,2,Others,522.6
12747.0,2011-11-17,52,766.42,18,5,4,5,Champions,39853.84
12748.0,2011-12-04,2065,21688.07,1,5,5,5,Champions,44785864.55
12749.0,2011-11-17,89,1984.2,18,5,5,5,Champions,176593.80000000002
12750.0,2011-08-03,5,90.9,124,3,2,2,Others,454.5
12751.0,2010-09-21,46,157.69,440,1,4,3,At Risk,7253.74
12752.0,2011-09-19,1,15.9,77,4,1,1,Others,15.9
12754.0,2011-03-07,48,61.62,273,2,4,2,At Risk,2957.7599999999998
12755.0,2011-03-04,35,81.71000000000001,276,2,4,2,At Risk,2859.8500000000004
12757.0,2011-11-24,141,4236.89,11,5,5,5,Champions,597401.49
12758.0,2011-03-08,19,312.3,272,2,3,4,At Risk,5933.7
12759.0,2011-10-18,38,771.7,48,4,4,5,Champions,29324.600000000002
12760.0,2010-09-10,3,59.7,451,1,1,2,Others,179.10000000000002
12761.0,2010-09-08,2,70.0,453,1,1,2,Others,140.0
12762.0,2011-11-14,2,72.5,21,5,1,2,Others,145.0
12764.0,2011-01-27,2,29.7,312,2,1,1,Others,59.4
